unit_id,default_name,custom_name_string_id,custom_name,hitpoints_raw_256ths,hitpoints,shields,armor,build_time_ticks,mineral_cost,gas_cost
115,Terran Control Tower,595,Checker,128000,500.0,100,0,600,50,50
122,Terran Engineering Bay,5475,이게 뭐죠?,128000,500.0,100,0,900,125,0
123,Terran Armory,5474,집중하면 알수있어요,128000,500.0,100,0,1200,100,50
125,Terran Bunker,1431,한 공간이 약간 다릅니다,12800,50.0,10000,0,450,100,0
126,Norad II (Crashed),521,언제 어이없었던가,128000,500.0,100,0,4800,800,600
127,Ion Cannon,5481,뻐꾹 뻐꾹 뻐꾹,128000,500.0,100,0,900,200,0
134,Zerg Nydus Canal,5174,Hint,128000,500.0,100,0,600,150,0
135,Zerg Hydralisk Den,5480,아무것도 없는 방,12800,50.0,10000,0,600,100,50
137,Zerg Greater Spire,2683,Answer,128000,500.0,100,0,1800,100,150
138,Zerg Queen's Nest,6446,Characteristic,128000,500.0,100,0,900,150,100
139,Zerg Evolution Chamber,4933,이건 너무 불공평해!,128000,500.0,100,0,600,75,0
140,Zerg Ultralisk Cavern,5231,모두 모여랏!,128000,500.0,100,0,1200,150,200
141,Zerg Spire,2677,One Second Clear Add,128000,500.0,100,0,1800,200,150
142,Zerg Spawning Pool,1616,당신은 어디 소속이요?,128000,500.0,100,0,1200,200,0
151,Zerg Cerebrate,2354,무언가 심오한 변화가,128000,500.0,100,0,0,0,0
155,Protoss Robotics Facility,211,인생의 진리는 무엇인가,12800,50.0,10000,0,1200,200,200
156,Protoss Pylon,3895,Pylon,128000,500.0,0,0,450,100,0
159,Protoss Observatory,2623,으악 껌밟았다!,128000,500.0,0,0,450,50,100
162,Protoss Photon Cannon,5492,가운데 놈을 잡으세요,128000,500.0,0,0,750,150,0
163,Protoss Citadel of Adun,1590,다른점 찾기,128000,500.0,0,0,900,150,100
164,Protoss Cybernetics Core,3901,그냥 넘어가세요,128000,500.0,0,0,900,200,0
165,Protoss Templar Archives,2255,지옥까지 함께하자,128000,500.0,0,0,900,150,200
166,Protoss Forge,961,저는 낚시 중입니다,128000,500.0,0,0,600,150,0
167,Protoss Stargate,3,"S=1,C=10,A=100",128000,500.0,0,0,1050,150,150
169,Protoss Fleet Beacon,6180,Fleet Beacon,128000,500.0,0,0,900,300,200
170,Protoss Arbiter Tribunal,1322,싸움을 말려봐요!!,128000,500.0,0,0,900,200,150
171,Protoss Robotics Support Bay,3133,艮,128000,500.0,0,0,450,150,100
172,Protoss Shield Battery,2035,8,128000,500.0,0,0,450,100,0
177,Mineral Field (Type 2),5244,10,25600000,100000.0,100,0,1,1,1
