id,left,top,right,bottom,width,height,string_id,decoded_name,name_reference_in_section,elevation_flags,empty_rectangle
185,1536,1856,1568,1888,32,32,38493,,False,0,False
186,1216,1792,1696,2272,480,480,38262,,False,0,False
187,1088,1824,1120,1856,32,32,23959,,False,0,False
188,640,1792,1120,2272,480,480,18444,,False,0,False
189,704,1920,736,1952,32,32,30937,,False,0,False
190,640,2208,672,2240,32,32,30518,,False,0,False
191,640,2144,672,2176,32,32,40960,,False,0,False
192,128,1984,160,2016,32,32,29049,,False,0,False
193,512,2080,544,2112,32,32,11115,,False,0,False
194,256,2176,288,2208,32,32,38391,,False,0,False
195,512,1920,544,1952,32,32,21784,,False,0,False
196,64,1792,544,2272,480,480,24139,,False,0,False
197,64,2368,544,2848,480,480,53558,,False,0,False
198,864,2560,928,2624,64,64,31711,,False,0,False
199,960,2432,1024,2496,64,64,38462,,False,0,False
200,768,2656,832,2720,64,64,41155,,False,0,False
201,896,2784,960,2848,64,64,11410,,False,0,False
202,640,2368,1120,2848,480,480,35851,,False,0,False
203,1280,2784,1344,2848,64,64,56712,,False,0,False
204,1344,2400,1408,2464,64,64,29087,,False,0,False
205,1504,2496,1568,2560,64,64,39438,,False,0,False
206,1248,2656,1312,2720,64,64,54677,,False,0,False
207,1216,2368,1696,2848,480,480,28862,,False,0,False
208,1792,2368,1888,2432,96,64,29454,,False,0,False
209,2176,2368,2272,2432,96,64,27509,,False,0,False
210,1888,2560,2016,2656,128,96,18057,,False,0,False
211,2048,2784,2176,2848,128,64,44137,,False,0,False
212,1792,2368,2272,2848,480,480,21437,,False,0,False
213,2720,2752,2848,2848,128,96,41670,,False,0,False
214,2368,2368,2848,2848,480,480,48880,,False,0,False
215,5056,2368,5152,2464,96,96,11972,,False,0,False
216,5056,2752,5152,2848,96,96,53710,,False,0,False
217,3328,2368,3424,2464,96,96,36156,,False,0,False
218,3328,2752,3424,2848,96,96,33734,,False,0,False
219,2944,2368,3424,2848,480,480,25284,,False,0,False
220,3520,2368,4000,2848,480,480,40412,,False,0,False
221,3904,2368,4000,2464,96,96,48709,,False,0,False
222,3904,2752,4000,2848,96,96,37380,,False,0,False
223,4096,2368,4576,2848,480,480,27413,,False,0,False
224,4480,2368,4576,2464,96,96,7673,,False,0,False
225,4480,2752,4576,2848,96,96,27276,,False,0,False
226,4672,2368,5152,2848,480,480,20888,,False,0,False
227,5248,2368,5728,2848,480,480,27933,,False,0,False
228,5632,2368,5728,2464,96,96,4274,,True,0,False
229,5632,2752,5728,2848,96,96,41712,,False,0,False
230,0,0,0,0,0,0,43113,,False,0,True
231,0,0,0,0,0,0,15353,,False,0,True
232,0,0,0,0,0,0,36871,,False,0,True
233,0,0,0,0,0,0,28556,,False,0,True
234,0,0,0,0,0,0,27990,,False,0,True
235,0,0,0,0,0,0,25468,,False,0,True
236,0,0,0,0,0,0,62580,,False,0,True
237,0,0,0,0,0,0,51886,,False,0,True
238,0,0,0,0,0,0,15156,,False,0,True
239,0,0,0,0,0,0,37684,,False,0,True
240,0,0,0,0,0,0,38892,,False,0,True
241,0,0,0,0,0,0,31713,,False,0,True
242,0,0,0,0,0,0,41940,,False,0,True
243,0,0,0,0,0,0,26982,,False,0,True
244,0,0,0,0,0,0,30937,,False,0,True
245,0,0,0,0,0,0,21220,,False,0,True
246,0,0,0,0,0,0,17147,,False,0,True
247,0,0,0,0,0,0,40461,,False,0,True
248,0,0,0,0,0,0,15647,,False,0,True
249,0,0,0,0,0,0,17074,,False,0,True
250,0,0,0,0,0,0,45418,,False,0,True
251,0,0,0,0,0,0,36320,,False,0,True
252,0,0,0,0,0,0,38168,,False,0,True
253,0,0,0,0,0,0,23674,,False,0,True
254,0,0,0,0,0,0,22485,,False,0,True
255,0,0,0,0,0,0,42315,,False,0,True
