index,serial,x,y,unit_id,unit_name,owner_id,owner_name,hitpoints_percent,shields_percent,energy_percent,resources,hangar_count,state_flags,valid_state_flags,valid_property_flags,relation_class,related_serial,unused
103,63104376,496,512,123,Terran Armory,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
104,63104464,3088,3520,15,Terran Civilian,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
105,63104552,3088,3552,15,Terran Civilian,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
106,63104640,3088,3488,15,Terran Civilian,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
107,63104728,3088,3584,15,Terran Civilian,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
108,63104816,1056,496,122,Terran Engineering Bay,11,Player 12,100,100,100,0,0,16,28,3,0,0,0
109,63104904,1648,512,112,Terran Academy,11,Player 12,100,100,100,0,0,0,24,2,0,0,0
110,63104992,5952,5904,214,Start Location,0,Player 1,100,100,100,0,0,0,24,2,0,0,0
111,63105080,6080,5904,214,Start Location,1,Player 2,100,100,100,0,0,0,24,2,0,0,0
112,63105168,5952,6000,214,Start Location,2,Player 3,100,100,100,0,0,0,24,2,0,0,0
113,63105256,6080,6000,214,Start Location,3,Player 4,100,100,100,0,0,0,24,2,0,0,0
114,63105344,5952,5808,214,Start Location,6,Player 7,100,100,100,0,0,0,24,3,0,0,0
115,63105432,6080,5808,214,Start Location,4,Player 5,100,100,100,0,0,0,24,3,0,0,0
116,63105520,6080,5712,214,Start Location,5,Player 6,100,100,100,0,0,0,24,3,0,0,0
117,63105608,2224,512,140,Zerg Ultralisk Cavern,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
118,63105696,2608,296,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,0,24,6,0,0,0
119,63105784,2640,264,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
120,63105872,2672,232,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
121,63105960,2576,264,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
122,63106048,2544,232,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
123,63106136,2576,328,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
124,63106224,2544,360,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
125,63106312,2640,328,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
126,63106448,2672,360,61,Protoss Dark Templar,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
127,63106536,2816,512,162,Protoss Photon Cannon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
128,63106624,3376,512,170,Protoss Arbiter Tribunal,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
129,63106712,3192,264,54,Devouring One,4,Player 5,100,100,100,0,0,0,26,2,0,0,0
130,63106800,3192,320,54,Devouring One,5,Player 6,100,100,100,0,0,0,26,2,0,0,0
131,63106888,3952,512,159,Protoss Observatory,11,Player 12,100,100,100,0,0,16,24,7,0,0,0
132,63106976,2464,128,84,Protoss Observer,4,Player 5,100,100,100,0,0,16,24,6,0,0,0
133,63107064,4544,512,134,Zerg Nydus Canal,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
134,63107152,4544,96,137,Zerg Greater Spire,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
135,63107240,2752,3952,167,Protoss Stargate,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
136,63107328,2784,3936,156,Protoss Pylon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
137,63107416,2768,3936,169,Protoss Fleet Beacon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
138,63107504,2768,3936,170,Protoss Arbiter Tribunal,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
139,63107592,2976,3952,167,Protoss Stargate,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
140,63107680,3008,3936,156,Protoss Pylon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
141,63107768,2992,3936,169,Protoss Fleet Beacon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
142,63107856,2992,3936,170,Protoss Arbiter Tribunal,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
143,63107944,3200,3952,167,Protoss Stargate,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
144,63108032,3232,3936,156,Protoss Pylon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
145,63108120,3216,3936,169,Protoss Fleet Beacon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
146,63108208,3216,3936,170,Protoss Arbiter Tribunal,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
147,63108296,3424,3952,167,Protoss Stargate,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
148,63108384,3456,3936,156,Protoss Pylon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
149,63108472,3440,3936,169,Protoss Fleet Beacon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
150,63108560,3440,3936,170,Protoss Arbiter Tribunal,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
151,63108648,5104,512,163,Protoss Citadel of Adun,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
152,63108736,3680,512,75,Zeratul,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
153,63108824,3968,192,75,Zeratul,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
154,63108912,3648,128,75,Zeratul,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
155,63109000,3808,256,75,Zeratul,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
156,63109088,4704,96,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
157,63109176,4832,96,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
158,63109264,4896,96,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
159,63109352,4960,96,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
160,63109440,5024,96,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
161,63109528,5024,224,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
162,63109616,4896,224,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
163,63109704,4768,224,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
164,63109792,4704,224,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
165,63109880,4704,352,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
166,63109968,4768,352,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
167,63110056,4832,352,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
168,63110144,4896,352,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
169,63110232,4960,352,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
170,63110320,5024,352,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
171,63110408,4960,480,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
172,62799200,4896,480,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
173,62799288,4832,480,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
174,62799376,4768,480,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
175,62799464,4704,480,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
176,62799552,4768,96,10,Gui Montag,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
177,62799640,4832,224,10,Gui Montag,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
178,62799728,4960,224,10,Gui Montag,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
179,62799816,5024,480,10,Gui Montag,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
180,62799904,5680,512,138,Zerg Queen's Nest,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
181,62799992,5696,448,46,Zerg Defiler,11,Player 12,100,100,100,0,0,16,26,10,0,0,0
182,62800080,5680,1088,125,Terran Bunker,11,Player 12,100,100,100,0,0,0,24,2,0,0,0
183,62800168,4960,736,53,Hunter Killer,11,Player 12,100,100,100,0,0,16,26,2,0,0,0
184,62800256,4768,928,78,Fenix (Dragoon),11,Player 12,100,100,100,0,0,16,24,6,0,0,0
185,62800344,4768,736,51,Infested Kerrigan,11,Player 12,100,100,100,0,0,16,25,10,0,0,0
186,62800432,5024,832,19,Jim Raynor (Vulture),11,Player 12,100,100,100,0,0,16,24,2,0,0,0
187,62800520,4832,1024,25,Edmund Duke (Siege Mode),11,Player 12,100,100,100,0,0,16,24,2,0,0,0
188,62800608,5024,960,23,Edmund Duke (Tank Mode),11,Player 12,100,100,100,0,0,16,24,2,0,0,0
189,62800696,4864,832,77,Fenix (Zealot),11,Player 12,100,100,100,0,0,16,24,6,0,0,0
190,62800784,4896,928,1,Terran Ghost,11,Player 12,100,100,100,0,0,16,25,10,0,0,0
191,62800872,5104,1088,163,Protoss Citadel of Adun,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
192,62800960,4544,1088,134,Zerg Nydus Canal,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
193,62801048,4544,672,137,Zerg Greater Spire,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
194,62801136,3184,1104,68,Protoss Archon,4,Player 5,100,100,100,0,0,16,24,7,0,0,0
195,62801224,3952,1088,164,Protoss Cybernetics Core,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
196,62801312,2528,848,20,Jim Raynor (Marine),4,Player 5,100,100,100,0,0,0,24,3,0,0,0
197,62801400,2528,912,20,Jim Raynor (Marine),4,Player 5,100,100,100,0,0,0,24,3,0,0,0
198,62801488,2592,768,0,Terran Marine,5,Player 6,100,100,100,0,0,0,24,3,0,0,0
199,62801576,2640,816,0,Terran Marine,5,Player 6,100,100,100,0,0,0,24,3,0,0,0
200,62801664,2672,880,0,Terran Marine,5,Player 6,100,100,100,0,0,0,24,3,0,0,0
201,62801752,2640,944,0,Terran Marine,5,Player 6,100,100,100,0,0,0,24,3,0,0,0
202,62801840,2592,992,0,Terran Marine,5,Player 6,100,100,100,0,0,0,24,3,0,0,0
203,62801928,2800,1088,139,Zerg Evolution Chamber,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
204,62802016,2224,1088,142,Zerg Spawning Pool,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
205,62802104,1248,720,62,Zerg Devourer,4,Player 5,100,100,100,0,0,16,24,2,0,0,0
206,62802192,1648,1088,166,Protoss Forge,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
207,62802280,1456,816,99,Samir Duran,11,Player 12,100,100,100,0,0,16,25,10,0,0,0
208,62802368,3952,1664,155,Protoss Robotics Facility,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
209,62802456,160,1600,7,Terran SCV,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
210,62802544,112,1488,66,Protoss Dragoon,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
211,62802632,288,1568,65,Protoss Zealot,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
212,62802720,416,1296,39,Zerg Ultralisk,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
213,62802808,464,1424,83,Protoss Reaver,11,Player 12,100,100,100,0,0,16,24,38,0,0,0
214,62802896,160,1392,2,Terran Vulture,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
215,62802984,496,1664,172,Protoss Shield Battery,11,Player 12,100,100,100,0,0,16,24,14,0,0,0
216,62803072,192,1280,1,Terran Ghost,11,Player 12,100,100,100,0,0,16,25,10,0,0,0
217,62803160,320,1440,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
218,62803296,416,1536,50,Infested Terran,11,Player 12,100,100,100,0,0,16,26,2,0,0,0
219,62803384,5952,5712,214,Start Location,7,Player 8,100,100,100,0,0,0,24,2,0,0,0
220,62803472,1072,1664,163,Protoss Citadel of Adun,11,Player 12,100,100,100,0,0,16,24,6,0,0,0
221,62803560,672,1248,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
222,62803648,736,1248,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
223,62803736,864,1248,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
224,62803824,928,1248,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
225,62803912,992,1248,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
226,62804000,992,1312,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
227,62804088,864,1312,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
228,62804176,800,1312,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
229,62804264,736,1312,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
230,62804352,672,1312,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
231,62804440,672,1376,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
232,62804528,736,1376,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
233,62804616,800,1376,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
234,62804704,864,1376,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
235,62804792,928,1376,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
236,62804880,992,1376,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
237,62804968,928,1440,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
238,62805056,864,1440,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
239,62805144,800,1440,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
240,62805232,736,1440,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
241,62805320,672,1440,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
242,62805408,672,1504,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
243,62805496,736,1504,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
244,62805584,800,1504,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
245,62805672,864,1504,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
246,62805760,928,1504,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
247,62805848,992,1504,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
248,62805936,928,1568,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
249,62806024,864,1568,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
250,62806112,800,1568,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
251,62806200,736,1568,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
252,62806288,672,1568,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
253,62806376,672,1632,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
254,62806464,736,1632,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
255,62806552,800,1632,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
256,62806640,864,1632,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
257,62806728,928,1632,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
258,62806816,992,1632,32,Terran Firebat,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
259,62806904,800,1248,32,Terran Firebat,7,Player 8,100,100,100,0,0,16,24,3,0,0,0
260,62806992,928,1312,32,Terran Firebat,7,Player 8,100,100,100,0,0,16,24,3,0,0,0
261,62807080,992,1440,32,Terran Firebat,7,Player 8,100,100,100,0,0,16,24,3,0,0,0
262,62807168,992,1568,32,Terran Firebat,7,Player 8,100,100,100,0,0,16,24,3,0,0,0
263,62807256,1664,1664,134,Zerg Nydus Canal,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
264,62807392,1664,1248,137,Zerg Greater Spire,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
265,62807480,2240,1664,134,Zerg Nydus Canal,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
266,62807568,2240,1248,137,Zerg Greater Spire,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
267,62807656,2608,1456,90,Bengalaas,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
